binary_package	binary_version	source_package	source_version	repo_relative_path	source_directory	repo_url
libx11-xcb1	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.dsc	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.dsc
libx11-xcb1	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz
libx11-xcb1	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz.asc	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz.asc
libxau-dev	1:1.0.9-1build5	libxau	1:1.0.9-1build5	libxau/1%3a1.0.9-1build5/libxau_1.0.9-1build5.diff.gz	libxau/1%3a1.0.9-1build5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxau/1%253a1.0.9-1build5/libxau_1.0.9-1build5.diff.gz
libxau-dev	1:1.0.9-1build5	libxau	1:1.0.9-1build5	libxau/1%3a1.0.9-1build5/libxau_1.0.9-1build5.dsc	libxau/1%3a1.0.9-1build5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxau/1%253a1.0.9-1build5/libxau_1.0.9-1build5.dsc
libxau-dev	1:1.0.9-1build5	libxau	1:1.0.9-1build5	libxau/1%3a1.0.9-1build5/libxau_1.0.9.orig.tar.gz	libxau/1%3a1.0.9-1build5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxau/1%253a1.0.9-1build5/libxau_1.0.9.orig.tar.gz
libxau-dev	1:1.0.9-1build5	libxau	1:1.0.9-1build5	libxau/1%3a1.0.9-1build5/libxau_1.0.9.orig.tar.gz.asc	libxau/1%3a1.0.9-1build5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxau/1%253a1.0.9-1build5/libxau_1.0.9.orig.tar.gz.asc
libxau6	1:1.0.9-1build5	libxau	1:1.0.9-1build5	libxau/1%3a1.0.9-1build5/libxau_1.0.9-1build5.diff.gz	libxau/1%3a1.0.9-1build5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxau/1%253a1.0.9-1build5/libxau_1.0.9-1build5.diff.gz
libxau6	1:1.0.9-1build5	libxau	1:1.0.9-1build5	libxau/1%3a1.0.9-1build5/libxau_1.0.9-1build5.dsc	libxau/1%3a1.0.9-1build5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxau/1%253a1.0.9-1build5/libxau_1.0.9-1build5.dsc
libxau6	1:1.0.9-1build5	libxau	1:1.0.9-1build5	libxau/1%3a1.0.9-1build5/libxau_1.0.9.orig.tar.gz	libxau/1%3a1.0.9-1build5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libxau/1%253a1.0.9-1build5/libxau_1.0.9.orig.tar.gz
