binary_package	binary_version	source_package	source_version
libllvm15	1:15.0.7-0ubuntu0.22.04.3	llvm-toolchain-15	1:15.0.7-0ubuntu0.22.04.3
liblsan0	12.3.0-1ubuntu1~22.04.3	gcc-12	12.3.0-1ubuntu1~22.04.3
libltdl7	2.4.6-15build2	libtool	2.4.6-15build2
liblz4-1	1.9.3-2build2	lz4	1.9.3-2build2
liblzma-dev	5.2.5-2ubuntu1	xz-utils	5.2.5-2ubuntu1
liblzma5	5.2.5-2ubuntu1	xz-utils	5.2.5-2ubuntu1
liblzo2-2	2.10-2build3	lzo2	2.10-2build3
libmagic1	1:5.41-3ubuntu0.1	file	1:5.41-3ubuntu0.1
libmarkdown2	2.2.7-2	discount	2.2.7-2
libmd0	1.0.4-1build1	libmd	1.0.4-1build1
libmd4c-dev	0.4.8-1	md4c	0.4.8-1
libmd4c0	0.4.8-1	md4c	0.4.8-1
libmount-dev	2.37.2-4ubuntu3.5	util-linux	2.37.2-4ubuntu3.5
libmount1	2.37.2-4ubuntu3.5	util-linux	2.37.2-4ubuntu3.5
libmpc3	1.2.1-2build1	mpclib3	1.2.1-2build1
libmpdec3	2.5.1-2build2	mpdecimal	2.5.1-2build2
libmpfr6	4.1.0-3build3	mpfr4	4.1.0-3build3
libmtdev-dev	1.1.6-1build4	mtdev	1.1.6-1build4
libmtdev1	1.1.6-1build4	mtdev	1.1.6-1build4
libmysqlclient-dev	8.0.45-0ubuntu0.22.04.1	mysql-8.0	8.0.45-0ubuntu0.22.04.1
libmysqlclient21	8.0.45-0ubuntu0.22.04.1	mysql-8.0	8.0.45-0ubuntu0.22.04.1
libncurses6	6.3-2ubuntu0.1	ncurses	6.3-2ubuntu0.1
libncursesw6	6.3-2ubuntu0.1	ncurses	6.3-2ubuntu0.1
libnettle8	3.7.3-1build2	nettle	3.7.3-1build2
libnghttp2-14	1.43.0-1ubuntu0.2	nghttp2	1.43.0-1ubuntu0.2
libnpth0	1.6-3build2	npth	1.6-3build2
libnsl-dev	1.3.0-2build2	libnsl	1.3.0-2build2
libnsl2	1.3.0-2build2	libnsl	1.3.0-2build2
libnss-systemd	249.11-0ubuntu3.20	systemd	249.11-0ubuntu3.20
libodbc2	2.3.9-5ubuntu0.1	unixodbc	2.3.9-5ubuntu0.1
libodbccr2	2.3.9-5ubuntu0.1	unixodbc	2.3.9-5ubuntu0.1
libodbcinst2	2.3.9-5ubuntu0.1	unixodbc	2.3.9-5ubuntu0.1
libogg0	1.3.5-0ubuntu3	libogg	1.3.5-0ubuntu3
libopengl-dev	1.4.0-1	libglvnd	1.4.0-1
libopengl0	1.4.0-1	libglvnd	1.4.0-1
libopus0	1.3.1-0.1build2	opus	1.3.1-0.1build2
libp11-kit0	0.24.0-6build1	p11-kit	0.24.0-6build1
libpam-modules	1.4.0-11ubuntu2.6	pam	1.4.0-11ubuntu2.6
libpam-systemd	249.11-0ubuntu3.20	systemd	249.11-0ubuntu3.20
libpam0g	1.4.0-11ubuntu2.6	pam	1.4.0-11ubuntu2.6
libpango-1.0-0	1.50.6+ds-2ubuntu1	pango1.0	1.50.6+ds-2ubuntu1
libpango1.0-dev	1.50.6+ds-2ubuntu1	pango1.0	1.50.6+ds-2ubuntu1
libpangocairo-1.0-0	1.50.6+ds-2ubuntu1	pango1.0	1.50.6+ds-2ubuntu1
libpangoft2-1.0-0	1.50.6+ds-2ubuntu1	pango1.0	1.50.6+ds-2ubuntu1
libpangoxft-1.0-0	1.50.6+ds-2ubuntu1	pango1.0	1.50.6+ds-2ubuntu1
libpciaccess-dev	0.16-3	libpciaccess	0.16-3
libpciaccess0	0.16-3	libpciaccess	0.16-3
libpcre16-3	2:8.39-13ubuntu0.22.04.1	pcre3	2:8.39-13ubuntu0.22.04.1
libpcre2-16-0	10.39-3ubuntu0.1	pcre2	10.39-3ubuntu0.1
libpcre2-32-0	10.39-3ubuntu0.1	pcre2	10.39-3ubuntu0.1
libpcre2-8-0	10.39-3ubuntu0.1	pcre2	10.39-3ubuntu0.1
libpcre2-dev	10.39-3ubuntu0.1	pcre2	10.39-3ubuntu0.1
libpcre2-posix3	10.39-3ubuntu0.1	pcre2	10.39-3ubuntu0.1
libpcre3	2:8.39-13ubuntu0.22.04.1	pcre3	2:8.39-13ubuntu0.22.04.1
libpcre3-dev	2:8.39-13ubuntu0.22.04.1	pcre3	2:8.39-13ubuntu0.22.04.1
libpcre32-3	2:8.39-13ubuntu0.22.04.1	pcre3	2:8.39-13ubuntu0.22.04.1
libpcrecpp0v5	2:8.39-13ubuntu0.22.04.1	pcre3	2:8.39-13ubuntu0.22.04.1
libperl5.34	5.34.0-3ubuntu1.5	perl	5.34.0-3ubuntu1.5
libpipeline1	1.5.5-1	libpipeline	1.5.5-1
libpixman-1-0	0.40.0-1ubuntu0.22.04.1	pixman	0.40.0-1ubuntu0.22.04.1
libpixman-1-dev	0.40.0-1ubuntu0.22.04.1	pixman	0.40.0-1ubuntu0.22.04.1
libpng-dev	1.6.37-3ubuntu0.4	libpng1.6	1.6.37-3ubuntu0.4
libpng16-16	1.6.37-3ubuntu0.4	libpng1.6	1.6.37-3ubuntu0.4
libpq-dev	14.22-0ubuntu0.22.04.1	postgresql-14	14.22-0ubuntu0.22.04.1
