sdk_file	system_path	binary_package	binary_version	source_package	source_version
/usr/include/X11/extensions/presenttokens.h	/usr/include/X11/extensions/presenttokens.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/randr.h	/usr/include/X11/extensions/randr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/randrproto.h	/usr/include/X11/extensions/randrproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/record.h	/usr/include/X11/extensions/record.h	libxtst-dev	2:1.2.3-1build4	libxtst	2:1.2.3-1build4
/usr/include/X11/extensions/recordconst.h	/usr/include/X11/extensions/recordconst.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/recordproto.h	/usr/include/X11/extensions/recordproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/recordstr.h	/usr/include/X11/extensions/recordstr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/render.h	/usr/include/X11/extensions/render.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/renderproto.h	/usr/include/X11/extensions/renderproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/saver.h	/usr/include/X11/extensions/saver.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/saverproto.h	/usr/include/X11/extensions/saverproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/secur.h	/usr/include/X11/extensions/secur.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/security.h	/usr/include/X11/extensions/security.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/securproto.h	/usr/include/X11/extensions/securproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/shape.h	/usr/include/X11/extensions/shape.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/shapeconst.h	/usr/include/X11/extensions/shapeconst.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/shapeproto.h	/usr/include/X11/extensions/shapeproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/shapestr.h	/usr/include/X11/extensions/shapestr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/shm.h	/usr/include/X11/extensions/shm.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/shmproto.h	/usr/include/X11/extensions/shmproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/shmstr.h	/usr/include/X11/extensions/shmstr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/sync.h	/usr/include/X11/extensions/sync.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/syncconst.h	/usr/include/X11/extensions/syncconst.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/syncproto.h	/usr/include/X11/extensions/syncproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/syncstr.h	/usr/include/X11/extensions/syncstr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xcmiscproto.h	/usr/include/X11/extensions/xcmiscproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xcmiscstr.h	/usr/include/X11/extensions/xcmiscstr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86bigfont.h	/usr/include/X11/extensions/xf86bigfont.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86bigfproto.h	/usr/include/X11/extensions/xf86bigfproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86bigfstr.h	/usr/include/X11/extensions/xf86bigfstr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86dga.h	/usr/include/X11/extensions/xf86dga.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86dga1const.h	/usr/include/X11/extensions/xf86dga1const.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86dga1proto.h	/usr/include/X11/extensions/xf86dga1proto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86dga1str.h	/usr/include/X11/extensions/xf86dga1str.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86dgaconst.h	/usr/include/X11/extensions/xf86dgaconst.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86dgaproto.h	/usr/include/X11/extensions/xf86dgaproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86dgastr.h	/usr/include/X11/extensions/xf86dgastr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86vm.h	/usr/include/X11/extensions/xf86vm.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86vmproto.h	/usr/include/X11/extensions/xf86vmproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/xf86vmstr.h	/usr/include/X11/extensions/xf86vmstr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
